per;hogar;dpto;p3271;p6040;p6030s3;p3042;p3042s1;p3042s2;inglabo
2024;1;15;1;50;1974;3;5;;0
2024;1;15;2;32;1992;3;5;;600000
2024;1;15;1;63;1960;3;5;;1300000
2024;1;15;1;31;1993;3;5;;2800000
2024;1;15;1;33;1991;3;4;;1300000
2024;1;15;2;42;1982;8;4;112;1300000
2024;1;15;1;36;1988;4;3;;1300000
2024;1;15;2;31;1993;5;1;;400000
2024;1;15;2;34;1990;5;2;;600000
2024;1;15;1;37;1987;3;4;;1200000
2024;1;15;2;75;1949;1;0;;400000
2024;1;15;1;45;1979;3;5;;1200000
2024;1;15;2;50;1973;3;4;;350000
2024;1;15;1;83;1941;3;5;;350000
2024;1;15;1;36;1988;5;2;;900000
2024;1;15;1;35;1989;5;1;;400000
2024;1;15;1;74;1950;1;0;;500000
2024;1;15;1;33;1991;6;2;;1500000
2024;1;15;1;40;1984;3;5;;1300000
2024;1;15;1;68;1956;3;5;;1500000
2024;1;15;1;33;1991;10;10;413;4500000
2024;1;15;1;38;1986;3;5;;900000
2024;1;15;2;44;1980;5;2;;550000
2024;1;15;2;38;1986;3;5;;350000
2024;1;15;1;28;1996;5;2;;1300000
2024;1;15;2;28;1996;5;2;;1300000
2024;1;15;1;34;1990;3;5;;1300000
2024;1;15;1;53;1971;3;5;;1300000
2024;1;15;1;60;1964;10;10;719;1500000
2024;1;15;1;51;1973;10;10;113;5200000
2024;1;15;1;24;1999;8;4;212;1300000
2024;1;15;1;41;1983;6;2;;2538000
2024;1;15;1;44;1979;10;9;413;2500000
2024;1;15;1;47;1977;5;2;;1500000
2024;1;15;2;55;1969;3;5;;1300000
2024;1;15;1;52;1972;3;5;;1500000
2024;1;15;2;54;1970;10;5;239;600000
2024;1;15;2;37;1987;10;10;313;1950000
2024;1;15;2;27;1997;10;4;112;2300000
2024;1;15;1;58;1965;3;5;;1300000
2024;1;15;2;34;1990;5;2;;540000
2024;1;15;2;38;1986;12;3;314;9500000
2024;1;15;2;45;1979;10;10;112;7000000
2024;1;15;2;37;1987;4;2;;1300000
2024;1;15;2;17;2007;6;2;;600000
2024;1;15;1;42;1982;8;4;1039;1800000
2024;1;15;2;30;1994;5;2;;0
2024;1;15;1;48;1976;3;5;;1800000
2024;1;15;2;33;1991;3;5;;1300000
2024;1;15;1;17;2007;5;2;;500000
2024;1;15;1;36;1988;10;10;719;2600000
2024;1;15;1;59;1965;4;4;;2100000
2024;1;15;2;32;1992;11;2;919;2100000
2024;1;15;1;26;1998;5;2;;1050000
2024;1;15;1;17;2007;4;3;;500000
2024;1;15;1;39;1985;4;4;;600000
2024;1;52;1;33;1991;9;6;916;1800000
2024;1;52;2;33;1991;9;6;916;1300000
2024;1;52;2;40;1984;5;2;;1750000
2024;1;52;1;44;1980;3;1;;580000
2024;1;52;2;37;1987;3;1;;610000
2024;1;5;2;47;1977;5;2;;1650000
2024;1;5;1;29;1995;11;0;613;1730000
2024;1;5;1;51;1973;11;2;613;3500000
2024;1;5;1;25;1999;9;6;613;2400000
2024;1;5;2;30;1994;10;8;313;2600000
2024;1;5;2;57;1967;12;4;413;4200000
2024;1;5;1;24;2000;10;10;119;1680000
2024;1;5;2;29;1995;9;6;413;2300000
2024;1;5;1;45;1979;5;2;;1300000
2024;1;5;2;47;1977;5;2;;1300000
2024;1;5;1;26;1998;10;6;421;2354000
2024;1;5;1;24;2000;5;2;;1300000
2024;1;5;1;35;1989;5;2;;1300000
2024;1;5;2;42;1982;5;2;;1680000
2024;1;5;1;46;1978;9;6;613;2000000
2024;1;5;2;42;1982;12;4;413;6000000
2024;1;5;1;33;1991;9;6;619;3300000
2024;1;5;2;27;1997;9;6;413;2400000
2024;1;5;2;51;1973;10;10;529;1500000
2024;1;5;1;54;1970;12;4;731;6800000
2024;1;5;1;64;1960;5;2;;3500000
2024;1;5;1;59;1965;5;2;;1300000
2024;1;5;2;34;1990;8;4;411;1300000
2024;1;5;2;29;1995;10;7;419;1300000
2024;1;5;1;57;1967;5;2;;1200000
2024;1;5;2;30;1994;5;2;;1300000
2024;1;5;2;32;1992;9;6;522;1300000
2024;1;5;2;41;1983;10;10;413;3500000
2024;1;5;1;43;1981;10;10;613;4800000
2024;1;5;2;42;1982;10;10;213;5180000
2024;1;5;2;39;1985;8;4;415;1300000
2024;1;5;1;27;1997;10;10;729;4500000
2024;1;5;2;26;1998;10;10;841;4000000
2024;1;5;2;43;1981;5;2;;1300000
2024;1;5;1;56;1968;4;1;;1300000
2024;1;5;2;58;1966;3;4;;1300000
2024;1;5;1;44;1980;9;6;715;2750000
2024;2;5;1;46;1978;9;6;732;2600000
2024;2;5;2;35;1989;10;10;819;4800000
2024;1;5;1;38;1986;3;5;;2400000
2024;1;5;2;36;1988;3;5;;1750000
2024;1;5;1;39;1985;3;3;;2100000
2024;1;5;1;19;2005;4;3;;1800000
2024;1;5;1;37;1987;10;10;239;2000000
2024;1;5;2;32;1992;5;2;;1770000
2024;1;5;1;35;1989;5;2;;2800000
2024;1;5;1;39;1985;5;2;;1300000
2024;1;5;1;55;1969;4;2;;1300000
2024;1;5;2;25;1999;10;10;119;1300000
2024;1;5;2;30;1994;10;10;719;1300000
2024;1;5;1;24;2000;5;2;;1300000
2024;1;5;1;60;1964;10;10;421;5300000
2024;1;5;2;59;1965;8;4;913;3165000
2024;1;5;2;35;1989;10;10;913;3800000
2024;1;5;2;28;1996;10;10;414;4700000
2024;1;5;2;23;2001;10;10;313;1400000
2024;1;5;1;38;1986;5;2;;1500000
2024;1;5;2;37;1987;10;10;315;5800000
2024;1;5;2;40;1984;5;2;;1300000
2024;1;5;1;58;1966;3;2;;1500000
2024;1;5;1;31;1993;4;2;;1600000
2024;1;5;2;37;1987;5;2;;4000000
2024;1;5;2;33;1990;10;10;413;2590000
2024;1;5;1;34;1990;10;2;719;2800000
2024;1;5;2;30;1994;11;4;421;8000000
2024;1;5;2;48;1976;9;6;31;1600000
2024;1;5;2;38;1986;10;10;313;2600000
2024;1;5;2;36;1988;9;6;413;1300000
2024;1;5;2;41;1983;10;10;421;2900000
2024;1;5;1;44;1980;5;2;;1830000
2024;1;5;2;77;1947;5;2;;500000
2024;1;5;1;39;1985;9;5;416;2150000
2024;1;5;1;41;1983;10;10;413;3560000
2024;1;5;2;46;1978;10;10;613;9600000
2024;1;5;1;53;1971;5;2;;2000000
2024;1;5;1;20;2004;10;7;421;1300000
2024;1;5;1;53;1971;12;6;911;15000000
2024;1;5;1;20;2004;8;4;119;1300000
2024;1;5;2;24;2000;5;1;;2000000
2024;1;5;2;40;1984;8;4;119;1300000
2024;1;5;1;41;1983;3;5;;500000
2024;1;5;1;21;2003;5;2;;1300000
2024;1;5;1;19;2005;4;2;;1300000
2024;1;5;1;50;1974;11;4;412;15400000
2024;1;5;2;43;1981;4;4;;1300000
2024;1;5;1;58;1966;10;10;719;5000000
2024;1;5;2;57;1967;10;10;719;6000000
2024;1;5;1;26;1998;12;2;719;3500000
2024;1;5;2;78;1945;3;5;;1900000
2024;1;5;1;24;2000;5;2;;1300000
2024;1;5;1;21;2003;5;2;;1300000
2024;1;5;2;49;1975;8;4;613;2600000
2024;1;5;1;45;1979;12;6;541;5200000
2024;1;5;1;65;1959;3;5;;1400000
2024;1;5;2;50;1974;12;4;119;4000000
2024;1;5;2;28;1996;10;10;913;6000000
2024;1;5;1;66;1958;3;3;;1300000
2024;1;5;2;45;1979;5;2;;2000000
2024;1;5;1;30;1994;5;1;;1300000
2024;1;5;1;31;1993;10;10;119;1300000
2024;1;5;1;35;1988;10;10;119;2000000
2024;1;5;2;33;1991;5;2;;2000000
2024;1;5;1;60;1964;10;10;713;7800000
2024;1;5;1;39;1985;11;2;719;5000000
2024;1;5;2;39;1985;5;2;;1880000
2024;1;5;2;42;1982;8;4;119;600000
2024;1;5;1;33;1991;8;4;713;1700000
2024;1;5;2;31;1993;9;6;1022;1300000
2024;1;5;1;45;1979;4;2;;2000000
2024;1;5;2;25;1999;5;2;;1300000
2024;1;5;1;52;1972;4;2;;2400000
2024;1;5;2;40;1984;9;6;1022;2000000
2024;1;5;1;30;1994;5;2;;3400000
2024;1;5;2;31;1993;11;4;917;5200000
2024;1;5;1;21;2003;5;2;;1300000
2024;1;5;2;51;1973;10;10;1012;3100000
2024;1;5;2;39;1985;4;3;;1850000
2024;1;5;1;33;1991;4;3;;1200000
2024;1;5;2;63;1961;12;6;911;8000000
2024;1;5;1;50;1974;10;10;731;8000000
2024;1;5;2;49;1975;10;10;211;4000000
2024;1;5;2;52;1972;3;4;;2362000
2024;1;5;2;41;1983;10;10;119;250000
2024;1;5;1;37;1987;9;6;119;1500000
2024;1;5;2;22;2002;5;2;;1300000
2024;1;5;2;25;1999;9;4;1022;1500000
2024;1;5;1;51;1973;5;2;;1300000
2024;1;5;1;46;1978;10;10;419;2000000
2024;1;5;2;42;1982;10;10;913;4000000
2024;1;5;1;37;1987;11;4;119;5000000
2024;1;5;2;35;1989;10;10;732;10000000
2024;1;5;2;20;2004;10;5;421;1300000
2024;1;5;2;64;1960;4;2;;270000
2024;1;5;1;42;1982;5;2;;1500000
2024;1;5;1;54;1970;1;0;;1300000
2024;1;5;2;25;1999;5;2;;2080000
2024;1;5;1;58;1966;5;2;;600000
2024;1;5;1;30;1994;8;4;415;1380000
2024;1;5;2;58;1966;9;6;916;1700000
2024;1;5;2;32;1992;5;2;;1300000
2024;1;5;2;44;1980;10;10;421;4000000
2024;1;5;1;42;1982;5;2;;1500000
2024;1;5;1;43;1981;5;2;;3800000
2024;1;5;1;46;1978;3;5;;600000
2024;1;5;1;19;2005;5;2;;1300000
2024;1;5;1;26;1998;4;4;;1462000
2024;1;5;2;30;1994;10;10;313;1600000
2024;1;5;2;61;1963;5;2;;1450000
2024;1;5;2;22;2002;9;6;1022;1636500
2024;1;5;1;34;1989;4;3;;10000000
2024;1;5;1;41;1983;9;6;913;2600000
2024;1;5;2;38;1986;5;2;;1883000
2024;1;5;1;19;2005;4;4;;400000
2024;1;5;2;44;1980;10;10;912;3200000
2024;1;5;2;57;1967;5;2;;1300000
2024;1;5;2;36;1988;12;4;719;6000000
2024;1;5;1;67;1957;5;2;;1800000
2024;1;5;2;27;1997;11;1;912;5180000
2024;1;5;1;65;1959;10;10;239;1200000
2024;1;5;2;29;1995;10;10;511;3500000
2024;1;5;2;27;1997;10;10;719;2500000
2024;1;5;1;62;1962;3;3;;2000000
2024;1;5;2;54;1970;9;6;613;2500000
2024;1;5;2;67;1957;8;4;111;4000000
2024;1;5;2;27;1997;8;4;913;1300000
2024;1;5;2;55;1969;5;2;;1600000
2024;1;5;2;22;2001;10;5;229;600000
2024;1;5;2;53;1971;9;6;412;1900000
2024;1;5;1;27;1997;3;4;;2000000
2024;1;5;2;22;2002;8;4;911;1300000
2024;1;5;1;28;1996;8;4;119;1300000
2024;1;5;1;72;1952;8;4;715;1300000
2024;1;5;1;67;1957;4;4;;2500000
2024;1;5;2;55;1969;5;2;;1200000
2024;1;5;1;24;2000;9;4;619;1462000
2024;1;5;2;25;1999;5;2;;1462000
2024;1;5;1;31;1993;5;2;;1462000
2024;1;5;1;47;1977;5;2;;1462000
2024;1;5;2;54;1970;5;2;;1462000
2024;1;5;2;54;1970;4;4;;2130000
2024;1;5;2;21;2003;10;9;212;1852000
2024;1;5;1;34;1990;9;6;819;2500000
2024;1;5;2;29;1995;11;4;211;2800000
2024;1;5;1;23;2001;5;2;;1462000
2024;1;5;2;62;1962;3;3;;400000
2024;1;5;1;45;1979;10;10;719;2400000
2024;1;5;2;47;1977;9;6;413;1300000
2024;1;5;1;37;1987;5;2;;1600000
2024;1;5;2;19;2005;5;2;;265000
2024;1;5;1;20;2004;4;1;;2000000
2024;1;5;2;40;1984;3;5;;1200000
2024;1;5;1;38;1986;5;2;;2700000
2024;1;5;2;46;1978;5;2;;1880000
2024;1;5;1;36;1987;4;4;;1300000
2024;1;5;1;59;1965;5;2;;2132000
2024;1;5;1;30;1994;4;3;;1600000
2024;1;5;2;34;1990;9;2;613;1300000
2024;1;5;1;35;1989;10;10;421;1300000
2024;1;5;2;56;1968;12;8;719;22000000
2024;1;5;2;54;1970;5;2;;1500000
2024;1;5;2;36;1988;5;2;;1700000
2024;1;5;2;19;2005;10;3;414;1300000
2024;1;5;1;30;1994;10;10;613;3600000
2024;1;5;1;64;1960;5;2;;2500000
2024;1;5;1;33;1991;5;2;;1500000
2024;1;5;1;30;1994;10;10;215;1500000
2024;1;5;1;25;1999;10;6;613;1100000
2024;1;5;1;22;2002;5;2;;1800000
2024;1;5;1;22;2002;5;2;;1300000
2024;1;5;2;51;1973;8;2;1012;1900000
2024;1;5;1;25;1999;8;2;612;1300000
2024;1;5;1;25;1999;8;2;612;1300000
2024;2;5;1;20;2003;5;2;;1300000
2024;1;5;1;61;1963;11;8;111;10400000
2024;1;5;2;47;1977;12;4;111;8000000
2024;1;5;1;46;1978;5;2;;2000000
2024;1;5;1;36;1988;5;2;;1600000
2024;1;5;1;31;1993;5;2;;500000
2024;1;5;1;44;1980;11;2;119;5000000
2024;1;5;1;28;1995;5;2;;1300000
2024;1;5;1;43;1981;5;2;;3500000
2024;1;5;1;35;1989;9;1;414;2700000
2024;1;5;2;46;1978;5;2;;1462000
2024;1;5;1;37;1987;4;3;;1200000
2024;2;5;2;22;2002;10;5;311;1830000
2024;3;5;2;26;1998;9;6;413;1936000
2024;1;5;1;43;1980;3;5;;1300000
2024;1;5;2;39;1985;5;2;;1300000
2024;1;5;1;36;1988;5;2;;1300000
2024;1;5;2;51;1973;5;2;;600000
2024;1;5;2;50;1974;11;4;413;6259000
2024;1;5;1;25;1999;12;0;414;1300000
2024;1;5;1;39;1985;3;3;;1462000
2024;1;5;2;54;1970;5;2;;550000
2024;1;5;1;33;1991;4;4;;400000
2024;1;5;1;42;1982;5;2;;1462000
2024;1;5;1;24;2000;5;2;;1462000
2024;1;5;1;30;1994;4;1;;1800000
2024;1;5;2;30;1994;4;4;;520000
2024;1;5;1;21;2003;8;4;31;2000000
2024;1;5;1;50;1974;3;5;;1450000
2024;1;5;1;60;1964;12;6;1022;9500000
2024;1;5;2;66;1957;3;5;;500000
2024;1;5;1;42;1982;5;2;;2000000
2024;1;5;2;27;1997;5;2;;2100000
2024;1;5;1;43;1981;3;5;;1300000
2024;1;5;1;42;1982;6;2;;2500000
2024;1;5;1;20;2004;4;3;;320000
2024;1;5;1;62;1962;5;2;;600000
2024;1;5;1;32;1992;9;6;11;1300000
2024;1;5;2;22;2002;5;2;;1300000
2024;1;5;1;56;1968;3;5;;1400000
2024;1;5;2;50;1974;3;3;;1300000
2024;1;5;1;30;1994;5;2;;1300000
2024;1;5;1;29;1995;10;10;613;7000000
2024;1;5;2;27;1997;8;4;112;1400000
2024;1;5;1;25;1999;5;2;;1100000
2024;1;5;2;28;1996;5;2;;1200000
2024;1;5;1;31;1993;5;2;;2400000
2024;1;5;2;29;1995;10;10;913;1800000
2024;1;5;1;60;1964;5;2;;1300000
2024;1;5;2;55;1969;4;2;;1500000
2024;1;5;2;42;;5;2;;1600000
2024;1;5;1;32;1992;5;2;;1800000
2024;1;5;1;23;2001;6;2;;1500000
2024;1;5;1;31;1993;5;2;;22900000
2024;1;5;1;25;1999;5;2;;0
2024;1;5;1;61;1963;11;2;412;3900000
2024;1;5;1;25;1999;11;2;414;2600000
2024;1;5;1;34;1990;12;6;911;5800000
2024;1;5;1;20;2004;5;2;;1300000
2024;1;5;2;25;1999;10;7;519;1300000
2024;1;5;2;52;1972;3;4;;1400000
2024;1;5;2;40;1984;5;2;;1350000
2024;1;5;1;62;1962;5;2;;1800000
2024;1;5;2;32;1992;5;2;;250000
2024;1;5;1;29;1995;5;2;;1300000
2024;1;5;2;37;1987;5;2;;1400000
2024;1;5;1;26;1998;4;1;;1300000
2024;1;5;1;51;1973;3;1;;600000
2024;1;5;1;21;2003;5;2;;1700000
2024;1;5;1;25;1999;4;1;;1450000
2024;1;5;1;61;1962;1;0;;1450000
2024;1;5;1;28;1996;10;10;312;1100000
2024;1;5;1;71;1953;3;5;;600000
2024;1;5;2;21;2003;8;2;211;1300000
2024;1;5;1;25;1999;5;2;;1300000
2024;1;5;2;37;1987;8;4;119;2000000
2024;1;5;1;36;1988;5;2;;2500000
2024;1;5;1;39;1985;8;4;913;2000000
2024;1;5;2;26;1998;10;10;719;2000000
2024;1;5;2;32;1992;8;4;119;1300000
2024;1;5;1;36;1988;4;2;;900000
2024;1;5;2;46;1978;3;3;;1300000
