directorio,secuencia_p,orden,hogar,regis,per,p3271,p6040,p3042,inglabo,id_registro_original
8465468,1,1,1,10,2025,2,41,12.0,13000000.0,47681
8437087,1,1,1,10,2025,2,41,4.0,1620000.0,2897
8467459,1,2,1,10,2025,1,42,4.0,780000.0,52247
8463126,1,2,1,10,2025,2,25,5.0,1800000.0,42459
8466000,1,4,1,10,2025,2,20,5.0,800000.0,48794
8442285,1,1,1,10,2025,2,62,10.0,,14736
8442997,1,1,1,10,2025,2,48,10.0,2000000.0,16439
8436714,1,2,1,10,2025,2,41,11.0,4270500.0,1881
8466114,1,1,1,10,2025,1,42,8.0,2750000.0,48988
8469100,1,2,1,10,2025,2,70,9.0,600000.0,56289
8467994,1,1,1,10,2025,1,31,8.0,1800000.0,53586
8444370,1,1,1,10,2025,1,55,3.0,1800000.0,19951
8441826,1,1,1,10,2025,2,63,5.0,150000.0,13538
8440367,1,1,1,10,2025,2,36,8.0,1423500.0,10387
8439583,1,1,1,10,2025,1,45,4.0,300000.0,8629
8439366,1,2,1,10,2025,2,42,11.0,3000000.0,8120
8440287,1,1,1,10,2025,1,18,5.0,1423500.0,10200
8462436,1,2,1,10,2025,2,51,3.0,750000.0,40984
8444887,1,1,1,10,2025,2,37,5.0,1423500.0,21325
8444204,1,1,1,10,2025,1,59,3.0,400000.0,19522
8448100,1,2,1,10,2025,2,23,10.0,420000.0,28486
8466996,1,2,1,10,2025,2,41,4.0,280000.0,51074
8451860,1,4,1,10,2025,1,49,5.0,5000000.0,37333
8464106,1,2,1,10,2025,2,31,10.0,2500000.0,44764
8471582,1,1,1,10,2025,1,48,10.0,2800000.0,62277
8468356,1,2,1,10,2025,2,35,5.0,1425000.0,54398
8468262,1,2,1,10,2025,2,33,3.0,800000.0,54181
8444103,1,1,1,10,2025,2,57,10.0,1500000.0,19335
8443218,1,1,1,10,2025,1,67,1.0,800000.0,16972
8464846,1,2,1,10,2025,2,26,5.0,1200000.0,46383
8440839,1,1,1,10,2025,1,28,5.0,1400000.0,11571
8441773,1,1,1,10,2025,2,49,9.0,2800000.0,13460
8466783,1,3,1,10,2025,1,61,10.0,2400000.0,50561
8461843,1,1,1,10,2025,1,65,1.0,500000.0,39556
8472451,1,2,1,10,2025,2,56,10.0,3000000.0,64038
8438497,1,3,1,10,2025,1,27,10.0,800000.0,6159
8446055,1,3,1,10,2025,1,23,5.0,1400000.0,23679
8448002,1,2,1,10,2025,2,41,11.0,3000000.0,28233
8446389,1,4,1,10,2025,1,49,5.0,1000000.0,24588
8451638,1,2,1,10,2025,1,65,3.0,2000000.0,36729
8445306,1,1,1,10,2025,1,32,5.0,600000.0,21944
8469569,1,4,1,10,2025,1,19,5.0,1423500.0,57550
8445271,1,3,1,10,2025,1,29,5.0,1000000.0,21831
8444292,1,2,1,10,2025,1,40,5.0,800000.0,19751
8469161,1,1,1,10,2025,1,29,5.0,600000.0,56473
8436992,1,1,1,10,2025,1,46,10.0,20000000.0,2688
8439283,1,1,1,10,2025,2,57,4.0,900000.0,7910
8450181,1,2,1,10,2025,2,60,3.0,1600000.0,33110
8442792,2,1,2,10,2025,2,61,5.0,2300000.0,15936
8464432,1,2,1,10,2025,1,37,5.0,500000.0,45425
8462803,1,1,1,10,2025,2,30,8.0,850000.0,41808
8462959,1,1,1,10,2025,1,47,3.0,2000000.0,42099
8444841,1,1,1,10,2025,2,22,10.0,3000000.0,21221
8470164,1,2,1,10,2025,1,20,5.0,700000.0,59085
8436101,1,1,1,10,2025,1,29,5.0,1423500.0,393
